id,name,label,type,lastModifiedById,companyId,deletedAt
58,Leave Request,leave-request,basic,372,53,
59,Probation Approval,probation-approval,basic,372,53,
60,Line Manager - Admin Approval,line-manager-admin-approval,basic,372,53,
61,Loan Approval,loan-approval,basic,372,53,
62,Line Manager - Hr Approval,line-manager-hr-approval,basic,372,53,
63,Line Manager - Finance Approvals,line-manager-finance-approvals,basic,372,53,
65,Payroll Approval,payroll-approval,basic,372,53,
80,Line Manager Approval,line-manager-approval,basic,372,53,
